state_id,abbr,text,amount,count,average_order_amount
1,AL,Alabama,4973.77,78,63.766282051282051282051282051
2,AK,Alaska,1502.45,19,79.076315789473684210526315789
3,AZ,Arizona,10367.85,136,76.234191176470588235294117647
4,AR,Arkansas,3666.4,49,74.82448979591836734693877551
5,CA,California,123863.15,1550,79.911709677419354838709677419
6,CO,Colorado,15735.3,213,73.874647887323943661971830986
7,CT,Connecticut,10289.5,151,68.142384105960264900662251656
8,DE,Delaware,1712.69,26,65.872692307692307692307692308
9,DC,District of Columbia,4442.5,67,66.30597014925373134328358209
10,FL,Florida,34130.93,480,71.106104166666666666666666667
11,GA,Georgia,17253.5,227,76.006607929515418502202643172
12,HI,Hawaii,3783.5,48,78.822916666666666666666666667
13,ID,Idaho,2742.0,33,83.090909090909090909
14,IL,Illinois,29705.71,400,74.264275
15,IN,Indiana,7322.98,96,76.281041666666666666666666667
16,IA,Iowa,4596.96,65,70.722461538461538461538461538
17,KS,Kansas,3828.71,53,72.239811320754716981132075472
18,KY,Kentucky,4331.25,63,68.75
19,LA,Louisiana,7067.6,96,73.620833333333333333333333333
20,ME,Maine,1805.5,20,90.275
21,MT,Montana,1459.75,24,60.822916666666666666666666667
22,NE,Nebraska,4244.75,56,75.799107142857142857142857143
23,NV,Nevada,6732.4,87,77.383908045977011494252873563
24,NH,New Hampshire,3719.75,54,68.884259259259259259259259259
25,NJ,New Jersey,25315.48,351,72.123874643874643874643874644
26,NM,New Mexico,3317.31,43,77.146744186046511627906976744
27,NY,New York,73125.48,1011,72.329851632047477744807121662
28,NC,North Carolina,14270.7,211,67.6336492890995260663507109
29,ND,North Dakota,1393.3,22,63.331818181818181818181818182
30,OH,Ohio,18774.65,242,77.58119834710743801652892562
31,OK,Oklahoma,6145.75,88,69.838068181818181818181818182
32,OR,Oregon,9247.29,126,73.391190476190476190476190476
33,MD,Maryland,13092.7,186,70.390860215053763440860215054
34,MA,Massachusetts,24182.25,300,80.6075
35,MI,Michigan,17833.63,231,77.201861471861471861471861472
36,MN,Minnesota,9879.21,132,74.8425
37,MS,Mississippi,3281.5,42,78.130952380952380952380952381
38,MO,Missouri,9654.1,127,76.016535433070866141732283465
39,PA,Pennsylvania,29553.99,382,77.366465968586387434554973822
40,RI,Rhode Island,2457.5,28,87.767857142857142857142857143
41,SC,South Carolina,6841.32,100,68.4132
42,SD,South Dakota,826.5,10,82.65
43,TN,Tennessee,11197.29,155,72.240580645161290322580645161
44,TX,Texas,66657.39,665,100.236676691729323308270676692
45,UT,Utah,4753.75,63,75.456349206349206349206349206
46,VT,Vermont,1738.0,23,75.565217391304347826
47,VA,Virginia,18259.07,240,76.079458333333333333333333333
48,WA,Washington,21667.8,281,77.109608540925266903914590747
49,WV,West Virginia,1310.75,15,87.383333333333333333333333333
50,WI,Wisconsin,9133.75,129,70.804263565891472868217054264
51,WY,Wyoming,914.75,10,91.475
