date,week_orders_count,week_orders_total,week_promotions_count,cheap,middle,expensive
1.1.2017,79,6132.84,18,65,49,8
8.1.2017,96,6813.87,16,56,58,10
15.1.2017,85,5939,11,52,50,8
22.1.2017,126,9511.28,19,62,82,18
29.1.2017,169,13577.55,31,73,132,26
5.2.2017,212,15347.64,36,76,158,29
12.2.2017,205,16078.5,32,63,158,36
19.2.2017,216,16719.06,29,47,161,44
26.2.2017,190,14847.08,26,40,147,38
5.3.2017,198,16250.28,25,48,163,39
12.3.2017,184,15397.99,34,53,158,34
19.3.2017,214,17816.36,47,90,162,43
26.3.2017,249,19537.42,43,66,199,49
2.4.2017,250,20597.37,46,53,201,59
9.4.2017,240,18899.04,26,50,192,47
16.4.2017,203,16076.51,15,31,159,43
23.4.2017,270,21339.33,35,55,223,54
30.4.2017,214,17273.9,26,51,164,56
7.5.2017,155,12303.77,11,37,123,33
14.5.2017,251,21840.09,75,105,279,57
21.5.2017,274,21983.19,30,86,218,61
28.5.2017,284,21534.24,22,49,239,46
4.6.2017,285,22165.76,36,68,221,61
11.6.2017,207,17154.58,38,56,159,52
18.6.2017,113,9198.47,26,45,81,29
25.6.2017,108,7772.73,18,52,65,21
2.7.2017,173,11246.07,69,98,125,24
9.7.2017,144,9821.36,46,85,98,22
16.7.2017,116,7893.93,20,71,69,16
23.7.2017,135,10897.03,28,68,106,24
30.7.2017,95,6556.82,9,33,78,9
6.8.2017,85,5619.82,11,33,71,5
13.8.2017,67,4843.66,10,35,38,15
20.8.2017,69,4751.61,10,29,43,13
27.8.2017,72,5509.96,13,37,52,14
3.9.2017,86,6554.27,28,51,59,19
10.9.2017,65,4140.96,11,29,50,5
17.9.2017,58,3833.8,10,32,40,6
24.9.2017,53,3875.01,15,29,41,7
1.10.2017,36,2907.5,10,11,25,12
8.10.2017,62,4595.81,24,57,46,9
15.10.2017,78,6665,22,44,66,15
22.10.2017,63,5041.01,27,36,46,16
29.10.2017,64,5210.93,33,58,39,18
5.11.2017,54,3703.53,13,50,33,6
12.11.2017,64,4557.4,21,40,53,7
19.11.2017,168,12309.76,51,83,152,17
26.11.2017,153,13328.38,63,97,86,100
3.12.2017,141,11792.93,38,71,100,61
10.12.2017,48,3522.44,10,26,37,10
17.12.2017,57,4665.99,26,50,68,8
24.12.2017,63,5788.33,24,65,69,10
